server_name,owner,db_link_name,Host,username,object_type
QTSMMDB,PUBLIC,QTSMMDB@AQ$_QTSMMDB1,(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=qtsmmdb01-vip)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=QTSMMDB)(INSTANCE_NAME=QTSMMDB1))),,DATABASE LINK
QTSMMDB,CNS,CNS_A2WDB,A2WDB,CNS,DATABASE LINK
QTSMMDB,CNS,CNS_QTSMMDB.ATLB.AIR2WEB.COM,QTSMMDB_RAC,CNS,DATABASE LINK
QTSMMDB,PUBLIC,COMPARE,a2wdb-01-vip:1521/a2wdb.atlc.air2web.com,GGS_OWNER,DATABASE LINK
QTSMMDB,REPORTING,DBLINK_NEWREPORT.ATLB.AIR2WEB.COM,TCHQTSDW,MMBU_USA_A2W_REPORTING,DATABASE LINK
QTSMMDB,REPORTING,DBLINK_QRRPT.ATLB.AIR2WEB.COM,TCHQTSDW,MMBU_ATL_QRRPT_ATT,DATABASE LINK
QTSMMDB,REPORTING,DBLINK_REPORT.ATLB.AIR2WEB.COM,TCHQTSDW,MMBU_USA_A2W_REPORTING,DATABASE LINK
QTSMMDB,A2W_CORE,DBLINK_MMBUEU_CORE,(DESCRIPTION =
QTSMMDB,A2W_MR,DBLINKA2WMR_REPORT,TCHQTSDW,MMBU_USA_A2W_REPORTING,DATABASE LINK
QTSMMDB,CAMPAIGN_MANAGER,TEST1,A2WDB,CAMPAIGN_MANAGER,DATABASE LINK
