server_name,owner,db_link,username,object_type
TCHQTSDW,PUBLIC,DBLINK_QTSMMSDB,DBADMIN,DATABASE LINK
TCHQTSDW,PUBLIC,DBLINK_CAMPAIGN_OLD,CAMPAIGN_MANAGER,DATABASE LINK
TCHQTSDW,MMBU_ATL_QRRPT_ATT,DBLINK_REPORT,REPORTING,DATABASE LINK
TCHQTSDW,MMBU_ATL_QRRPT_ATT,DBLINK_QRRPT,QR_RPT,DATABASE LINK
TCHQTSDW,MMBU_ATL_QRRPT_ATT,DBLINK_CMQRPRE,CM_QR_PRE,DATABASE LINK
TCHQTSDW,MMBU_ATL_QRRPT_ATT,DBLINK_CMQR37P,QR_MR_PRE_37,DATABASE LINK
TCHQTSDW,MMBU_ATL_QRRPT_ATT,DBLINK_CMQR37,QR_MR_37,DATABASE LINK
TCHQTSDW,MMBU_ATL_QRRPT_ATT,DBLINK_CMQR,CM_QR,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,STHERRIEN.DBLINK_EDWPUBRPT,MDG_CUBE,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,STHERRIEN.DBLINK_A2WMR_NEW,A2W_MR,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,MMBUIND_REPORT,VSNL_IND_REPORT_NG,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_TRACFONE_RTM,TRACFONE_RTM,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_SMART,SMART_MONITOR,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_REPORTING,REPORTING,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_REPORT.ATLB.AIR2WEB.COM,MMBU_ATL_REPORTING_ALL,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_QRRPT.ATLB.AIR2WEB.COM,MMBU_ATL_QRRPT_ATT,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_QRRPT,QR_RPT,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_QRMRPRE,CM_QR_PRE,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_QRMR37,QR_MR_37,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_PUSHPLATFORM,MMBU_USA_PUSHPLATFORM_SDP,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_PREBILL,PREMIUM_BILLING,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_JCP,MMBU_USA_JCP,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_INTL,INTL_TN,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_INSIDER,INSIDERTXT,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_GENERIC,GENERICFTP_LOAD,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_EDWPUBRPT,EDWPUBRPT,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_CUSTOM,CUSTOMERMGT,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_CMQRPRE,CM_QR_PRE,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_CMQR,CM_QR,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_CAMPAI_NEW,CAMPAIGN_MANAGER,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_CAMPAI,CAMPAIGN_MANAGER,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_A2WTON,A2WTONOTIFY,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_A2WQRPRE,A2W_QR_PRE,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_A2WQR,A2W_QR,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_A2WMR_TEST,A2W_MR,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_A2WMR_NEW,A2W_MR,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_A2WMR,A2W_MR,DATABASE LINK
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBLINK_A2WCORE,A2W_CORE,DATABASE LINK
TCHQTSDW,MMOPS_VBEI,DBLINK_A2WMR_MMOPS_VBEI,GENERIC_READER,DATABASE LINK
TCHQTSDW,MPRAKASH,MMOPS_MCHANDRASEKARAN.DBLINK_CUSTOM_MCHANDRASEKARAN,CUSTOMERMGT,DATABASE LINK
TCHQTSDW,MPRAKASH,MMOPS_MCHANDRASEKARAN.DBLINK_A2WMR_MCHANDRASEKARAN,A2W_MR,DATABASE LINK
TCHQTSDW,MPRAKASH,MMOPS_AJOHN.DBLINK_CUSTOM_AJOHN,CUSTOMERMGT,DATABASE LINK
TCHQTSDW,MPRAKASH,MMOPS_AJOHN.DBLINK_A2WMR_AJOHN,A2W_MR,DATABASE LINK
TCHQTSDW,MPRAKASH,MMBU_MCHANDRASEKARAN.DBLINK_CUSTOM_MCHANDRASEKARAN,CUSTOMERMGT,DATABASE LINK
TCHQTSDW,MPRAKASH,MMBU_MCHANDRASEKARAN.DBLINK_A2WMR_MCHANDRASEKARAN,A2W_MR,DATABASE LINK
TCHQTSDW,MPRAKASH,MMBU_AJOHN.DBLINK_CUSTOM_AJOHN,CUSTOMERMGT,DATABASE LINK
TCHQTSDW,MPRAKASH,MMBU_AJOHN.DBLINK_A2WMR_AJOHN,A2W_MR,DATABASE LINK
TCHQTSDW,CM_QR_PRE,DBLINK_CM_QR_PRE_OLD,CM_QR_PRE,DATABASE LINK
TCHQTSDW,CM_QR,DBLINK_CM_QR_OLD,CM_QR,DATABASE LINK
TCHQTSDW,CAMPAIGN_MANAGER,DBLINK_CAMPAIGN_OLD,CAMPAIGN_MANAGER,DATABASE LINK
TCHQTSDW,MMBU_ATL_CAMPAIGN_MANAGER,DBLINK_CAMPAIGN_OLD,CAMPAIGN_MANAGER,DATABASE LINK
TCHQTSDW,MMBU_ATL_CAMPAIGN_MANAGER,DBLINK_CAMPAIGN_MGMT,CAMPAIGN_MANAGER,DATABASE LINK
TCHQTSDW,MMBU_ATL_CM_QR,DBLINK_CM_QR_OLD,CM_QR,DATABASE LINK
TCHQTSDW,MMBU_ATL_CM_QRPRE,DBLINK_CM_QR_PRE_OLD,CM_QR_PRE,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_SMART,SMART_MONITOR,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_REPORT.ATLB.AIR2WEB.COM,MMBU_USA_A2W_REPORTING,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_QRRPT,QR_RPT,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_QRMRPRE,QR_MR_PRE_37,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_QRMR37,QR_MR_37,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_INTL,INTL_TN,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_INSIDER,INSIDERTXT,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_GENERIC,GENERICFTP_LOAD,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_CUSTOM,CUSTOMERMGT,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_CMQRPRE,CM_QR_PRE,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_CMQR,CM_QR,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_CAMPAI,CAMPAIGN_MANAGER,DATABASE LINK
TCHQTSDW,REPORTING,DBLINK_A2WTON,A2WTONOTIFY,DATABASE LINK
