server_name,owner,db_link,username,object_type
TYPHO,PUBLIC,TCHQTSDW.MQUBE.US,MMBU_USA_A2W_REPORTING,DATABASE LINK
TYPHO,PUBLIC,PAYVIADW03.MQUBE.US,PAYVIAAPPL,DATABASE LINK
TYPHO,PUBLIC,PAYVIA_LA_DEV.MQUBE.US,PAYVIA_DEV_LINK,DATABASE LINK
TYPHO,PUBLIC,DVDWDB1.MQUBE.US,SYSTEM,DATABASE LINK
TYPHO,PUBLIC,PAYVIA_DW_AMAZON.MQUBE.US,LINK,DATABASE LINK
TYPHO,PUBLIC,PAYVIA_DW.MQUBE.US,PAYVIA_PROD_LINK,DATABASE LINK
TYPHO,PUBLIC,PAYVIA_LA_UAT.MQUBE.US,PAYVIA_UAT_LINK,DATABASE LINK
TYPHO,PUBLIC,PAYVIADW02.MQUBE.US,PAYVIAAPPL,DATABASE LINK
TYPHO,PUBLIC,MYSQL234.MQUBE.US,proddwdb1,DATABASE LINK
TYPHO,PUBLIC,MYSQL32TEST.MQUBE.US,oracle2,DATABASE LINK
TYPHO,PUBLIC,BRATMYSQL32TEST.MQUBE.US,oracle,DATABASE LINK
TYPHO,PUBLIC,PAYVIA_PROD.MQUBE.US,proddwdb1,DATABASE LINK
TYPHO,PUBLIC,PAYVIAPORTAL_STG.MQUBE.US,proddwdb1,DATABASE LINK
TYPHO,PUBLIC,PAYVIAPORTAL_PROD.MQUBE.US,proddwdb1,DATABASE LINK
TYPHO,PUBLIC,MYSQL2.MQUBE.US,proddwdb1,DATABASE LINK
TYPHO,PUBLIC,MYSQL.MQUBE.US,proddwdb1,DATABASE LINK
TYPHO,PUBLIC,PAYVIA_STG.MQUBE.US,proddwdb1,DATABASE LINK
TYPHO,SITESCOPE,AMIDALA.MQUBE.US,DIALOGSERVER,DATABASE LINK
TYPHO,EDWADM,MSGDB5.MQUBE.US,WSGWADMIN,DATABASE LINK
TYPHO,EDWADM,MSGDB6.MQUBE.US,SMX,DATABASE LINK
TYPHO,EDWADM,AMIDALA.MQUBE.US,DIALOGSERVER,DATABASE LINK
TYPHO,LOGLOOKUP,MSGDB5.MQUBE.US,WSGWADMIN,DATABASE LINK
TYPHO,LOGLOOKUP,MSGDB6.MQUBE.US,SMX,DATABASE LINK
TYPHO,LOGLOOKUP,AMIDALA.MQUBE.US,DIALOGSERVER,DATABASE LINK
