
SERVER_NAME   ,OWNER               ,TABLE_NAME                              ,LAST_ANA,   SIZE_MB,                      NUM_ROWS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
--------------,--------------------,----------------------------------------,--------,----------,------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,CAMPAIGNAPP         ,SESSIONDATA                             ,10/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,CAMPAIGNAPP         ,MESSAGESTATUSDATA                       ,10/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PREMIUMAUTHTXCONTROL                    ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DEVICE_DATA                             ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DIALOGMSGLOG                            ,08/09/17,        41,                         18989                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,SMXMSGLOG                               ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,RSTEVENT                                ,08/09/17,        10,                         36926                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PREMIUMAUTHTXCONTROLBWS                 ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PREMIUMMESSAGE                          ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,CORRELATIONLOG                          ,08/09/17,     13400,                     147748800                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,ABC                                     ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DIALOGTXLOG                             ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PROGRAMIVRSTATSLOG                      ,08/09/17,         5,                          1518                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,STUDIOSMXMSGLOG                         ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,REVERSETRANSACTION                      ,08/09/17,         6,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,BILLINGTRANSACTION                      ,08/09/17,         6,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,VZWUSAGE                                ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,OPTINSTATE                              ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DIALOGSUBMITTAGLOG                      ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DIALOGXMLLOG                            ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,SMPPDELIVERY                            ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PROGRAMTRGSTATSLOG                      ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,APPBILLINGPROPERTIES                    ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PREMIUMBILLING                          ,08/09/17,         2,                          3974                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,MULTIPARTMESSAGE                        ,08/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PREMIUMAUTHTXMICRO                      ,08/09/17,         0,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,VZWBILLINGUSAGE                         ,08/09/17,        40,                         92503                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DIALOGBULKLOG                           ,08/09/17,       376,                       1737400                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,MMGMSGLOG                               ,08/09/17,    713436,                    1518712100                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,OPTIN                                   ,08/09/17,       512,                       3198400                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,MMSGW               ,MMSGWLOG                                ,10/09/17,      1156,                       2597900                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,MTRUST              ,OPTIN_EVENT                             ,10/09/17,         3,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SMSGW               ,SMSGWCONNECTIONLOG                      ,10/09/17,       595,                       6352410                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SMX                 ,OLD_ROUTINGRANGE                        ,10/09/17,       227,                       1663070                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SMX                 ,OLD_LNPOCNCACHE                         ,10/09/17,       792,                      14162800                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBDOWNLOADACTIVITY                     ,20/07/12,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBMGMTACTIVITY                         ,10/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBBILLINGHISTORY                       ,10/09/17,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBANNIVACTIVITY                        ,20/07/12,         1,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,CARRIERNOTIFICATION                     ,20/07/12,         4,                       5148340                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBSCRIPTIONCONTENTTYPE                 ,10/09/17,         1,                            16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBARCHIVE                              ,20/07/12,         4,                       9019070                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
