
SERVER_NAME   ,OWNER               ,TABLE_NAME                              ,LAST_ANA,   SIZE_MB,                      NUM_ROWS,SEGMENT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
--------------,--------------------,----------------------------------------,--------,----------,------------------------------,------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AMIDALA.MQUBE.,CAMPAIGNAPP         ,SESSIONDATA                             ,11/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,CAMPAIGNAPP         ,MESSAGESTATUSDATA                       ,11/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,APPBILLINGPROPERTIES                    ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DEVICE_DATA                             ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PREMIUMAUTHTXCONTROL                    ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,BILLINGTRANSACTION                      ,08/09/17,         6,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,RSTEVENT                                ,08/09/17,         9,                         36926,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,VZWUSAGE                                ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,ABC                                     ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PREMIUMAUTHTXMICRO                      ,08/09/17,         0,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,VZWBILLINGUSAGE                         ,08/09/17,        40,                         92503,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,REVERSETRANSACTION                      ,08/09/17,         6,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,SMXMSGLOG                               ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,OPTINSTATE                              ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,CORRELATIONLOG                          ,08/09/17,     12584,                     147748800,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DIALOGSUBMITTAGLOG                      ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DIALOGTXLOG                             ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
