server_name,owner,object_name,last_ddl_time,status,object_type
TCHQTSDW,OUTLN,ORA$GRANT_SYS_SELECT,2011/09/17,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_LATENCY_REPORT_RTD,2017/08/16,VALID,PROCEDURE
TCHQTSDW,DBSNMP,MGMT_UPDATE_DB_FEATURE_LOG,2011/09/17,VALID,PROCEDURE
TCHQTSDW,WMSYS,NO_VM_DROP_PROC,2011/09/17,VALID,PROCEDURE
TCHQTSDW,WMSYS,NO_VM_CREATE_PROC,2011/09/17,VALID,PROCEDURE
TCHQTSDW,WMSYS,NO_VM_ALTER_PROC,2011/09/17,VALID,PROCEDURE
TCHQTSDW,WMSYS,VALIDATE_OWM,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,EXF$EXPCORRCHKOCI,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,EXF$VALIDATEDATAITEM,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,EXF$EXPFUNCLISTCHK,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,EXF$CHECK_PRIVILEGE,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,GETDUMMYTAGS,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,GETTAGSARROCI,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,EXF$XPDUMPTAGSINFO,2011/09/17,VALID,PROCEDURE
TCHQTSDW,CTXSYS,DRI_MOVE_CTXSYS,2011/09/17,VALID,PROCEDURE
TCHQTSDW,CTXSYS,SYNCRN,2011/09/17,VALID,PROCEDURE
TCHQTSDW,XDB,XDB$INITXDBSCHEMA,2011/09/17,VALID,PROCEDURE
TCHQTSDW,XDB,XDB$PATCHUPSCHEMA,2016/07/15,VALID,PROCEDURE
TCHQTSDW,XDB,XDB$PATCHUPDELETESCHEMA,2011/09/17,VALID,PROCEDURE
TCHQTSDW,XDB,XDB_DATASTORE_PROC,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,RLM$CREATE_SCHEDULER_JOBS,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,RLM$PROCCLLGRPBY,2011/09/17,VALID,PROCEDURE
TCHQTSDW,EXFSYS,RLM$PROCESSCOLLPREDS,2011/09/17,VALID,PROCEDURE
TCHQTSDW,ORDSYS,SI_CHGCONTENT,2011/09/17,VALID,PROCEDURE
TCHQTSDW,ORDSYS,SI_CONVERTFORMAT,2011/09/17,VALID,PROCEDURE
TCHQTSDW,ORDSYS,SI_APPENDCLRHSTGR,2011/09/17,VALID,PROCEDURE
TCHQTSDW,ORDSYS,SI_SETAVGCLRFTR,2011/09/17,VALID,PROCEDURE
TCHQTSDW,ORDSYS,SI_SETCLRHSTGRFTR,2011/09/17,VALID,PROCEDURE
TCHQTSDW,ORDSYS,SI_SETPSTNLCLRFTR,2011/09/17,VALID,PROCEDURE
TCHQTSDW,ORDSYS,SI_SETTEXTUREFTR,2011/09/17,VALID,PROCEDURE
TCHQTSDW,MDSYS,RESET_INPROG_INDEX,2011/09/17,VALID,PROCEDURE
TCHQTSDW,MDSYS,ELOCATIONSETJVMHEAPSIZE,2011/09/17,VALID,PROCEDURE
TCHQTSDW,MMBUDW_MIGRATION,MIGRATE_MESSAGE_DATA_NL,2016/09/21,VALID,PROCEDURE
TCHQTSDW,SYSMAN,SAVE_TTS_TS,2015/01/21,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,POPULATE_LOAD_RUN_DTL,2017/03/09,VALID,PROCEDURE
TCHQTSDW,SYSMAN,SETEMUSERCONTEXT,2015/01/21,VALID,PROCEDURE
TCHQTSDW,SYSMAN,SETEMVIEWUSERCONTEXT,2015/01/21,VALID,PROCEDURE
TCHQTSDW,APEX_030200,WWV_FLOW_INIT_HTP_BUFFER,2011/09/17,VALID,PROCEDURE
TCHQTSDW,APEX_030200,F,2011/09/17,VALID,PROCEDURE
TCHQTSDW,APEX_030200,APEX,2011/09/17,VALID,PROCEDURE
TCHQTSDW,APEX_030200,DEVELOPMENT_SERVICE_HOME,2011/09/17,VALID,PROCEDURE
