SERVER_NA,OWNER                         ,OBJECT_NAME                                                                                                                     ,AST_DDL_,STATUS ,OBJECT_TYPE
AMIDALA  ,CAMPAIGNAPP                   ,SEARCH_N_REPLACE_CLOB                                                                                                           ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,CAMPAIGNAPP                   ,PURGE_FEEDDATA                                                                                                                  ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,CAMPAIGNAPP                   ,DEL_SUBSCRIBERRESPDATA                                                                                                          ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,CAMPAIGNAPP                   ,UPDFLOW                                                                                                                         ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,CMPADMIN                      ,PRC_GRANT_ACCESS                                                                                                                ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,DBADMIN                       ,PRC_GRANT_ALL                                                                                                                   ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,DBADMIN                       ,PRC_SEND_MAIL                                                                                                                   ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,DBADMIN                       ,PRC_GRANT_ACCESS                                                                                                                ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,DIALOGSERVER                  ,PRC_GRANT_ACCESS                                                                                                                ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,DIALOGSERVER                  ,GETTRANSID                                                                                                                      ,09/06/11,VALID  ,PROCEDURE
AMIDALA  ,DIALOGSERVER                  ,CHECK_DUPS                                                                                                                      ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,DIALOGSERVER                  ,CLOSEPREMIUM                                                                                                                    ,11/12/12,VALID  ,PROCEDURE
AMIDALA  ,DIALOGSERVER                  ,UPDATE_PREMIUMSUBSCRIBERCHARGE                                                                                                  ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,DIALOGSERVER                  ,MPMSGDELIVERY                                                                                                                   ,08/11/10,VALID  ,PROCEDURE
AMIDALA  ,DIALOGSERVER                  ,VZWINSERTACCTPOLICY                                                                                                             ,08/11/10,VALID  ,PROCEDURE
