server_name,owner,object_name,last_ddl_time,status,object_type
MSGDB6,OUTLN,ORA$GRANT_SYS_SELECT,2008/08/05,VALID,PROCEDURE
MSGDB6,SMX,CHECKLNPROUTING,2009/08/20,VALID,PROCEDURE
MSGDB6,SMX,FIX_LERG,2008/08/05,VALID,PROCEDURE
MSGDB6,SMX,UPDATELERGRANGEMONTHLY,2008/08/05,VALID,PROCEDURE
MSGDB6,SMX,UPDATEMDNCARRIER,2016/01/26,VALID,PROCEDURE
MSGDB6,SMX,SET_LERG_STATUS,2008/08/05,VALID,PROCEDURE
MSGDB6,SMX,UPDATELERGRANGEDAILY,2008/08/05,VALID,PROCEDURE
MSGDB6,SMX,UPDATEALTROUTING,2016/01/26,VALID,PROCEDURE
MSGDB6,SMX,REACTIVATEMDN,2016/01/26,VALID,PROCEDURE
MSGDB6,SMX,BACKUPLERG,2008/08/05,VALID,PROCEDURE
MSGDB6,SMX,CHECKLNPCACHE,2009/08/20,VALID,PROCEDURE
MSGDB6,SMX,CHECK_FOR_LERG,2014/05/06,VALID,PROCEDURE
MSGDB6,SMX,UPDATELERGOCN,2008/08/05,VALID,PROCEDURE
MSGDB6,SMX,SMX_SYNCH_CARRIER_TABLE,2008/10/14,VALID,PROCEDURE
MSGDB6,DBADMIN,PRC_GRANT_ALL,2008/08/05,VALID,PROCEDURE
MSGDB6,DBADMIN,PRC_SEND_MAIL,2008/08/05,VALID,PROCEDURE
MSGDB6,WMSYS,VALIDATE_OWM,2008/10/14,VALID,PROCEDURE
MSGDB6,WMSYS,NO_VM_DROP_PROC,2008/10/14,VALID,PROCEDURE
MSGDB6,WMSYS,NO_VM_CREATE_PROC,2008/10/14,VALID,PROCEDURE
MSGDB6,WMSYS,NO_VM_ALTER_PROC,2008/10/14,VALID,PROCEDURE
MSGDB6,DBADMIN,PRC_GRANT_ACCESS,2009/07/27,VALID,PROCEDURE
