
SERVER_NAME   ,OWNER               ,OBJECT_NAME                                       ,LAST_DDL_TIME                           ,STATUS    ,OBJECT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
--------------,--------------------,--------------------------------------------------,----------------------------------------,----------,------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AMIDALA.MQUBE.,WMSYS               ,WM$UP_DEL_TRIG_NAME_SEQUENCE                      ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,WMSYS               ,WM$INSTEADOF_TRIGS_SEQUENCE                       ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,WMSYS               ,WM$LOCK_SEQUENCE                                  ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,WMSYS               ,WM$VTID                                           ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,WMSYS               ,WM$ADT_SEQUENCE                                   ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,WMSYS               ,WM$VERSION_SEQUENCE                               ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,WMSYS               ,WM$ROW_SYNC_ID_SEQUENCE                           ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,WMSYS               ,WM$UDTRIG_DISPATCHER_SEQUENCE                     ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,NMGMT               ,CARRIERSCUSAGESEQ                                 ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,NMGMT               ,SVCCODERESSEQ                                     ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,NMGMT               ,SVCCODEUSAGESEQ                                   ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,NMGMT               ,SVCEMAILRESSEQ                                    ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,NMGMT               ,SVCEMAILUSAGESEQ                                  ,11/05/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
