
AMIDALA       ,CAMPAIGNAPP    ,OPTINHISTORY                  ,DIALOGSERVER   ,OPTINHISTORY                  ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,PROGRAMTRGSTATSLOG            ,DIALOGSERVER   ,PROGRAMTRGSTATSLOG            ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,PROGRAMIVRSTATSLOG            ,DIALOGSERVER   ,PROGRAMIVRSTATSLOG            ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,OPTIN                         ,DIALOGSERVER   ,OPTIN                         ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,CHECK_SPACE                   ,DIALOGSERVER   ,CHECK_SPACE                   ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,LERGROUTINGRANGE              ,SMX            ,LERGROUTINGRANGE              ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,CARRIEROCN                    ,SMX            ,CARRIEROCN                    ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,CARRIER                       ,SMX            ,CARRIER                       ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,LERG_ROUTING                  ,SMX            ,LERG_ROUTING                  ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,APPLICATION_REGISTRY          ,DIALOGSERVER   ,APPLICATION_REGISTRY          ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,PARTITION_ADMIN               ,DIALOGSERVER   ,PARTITION_ADMIN               ,               ,SYNONYM
AMIDALA       ,CAMPAIGNAPP    ,CARRIEROCNVIEW                ,SMX            ,CARRIEROCNVIEW                ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,PKG_SCHEMA_REVISION           ,DBADMIN        ,PKG_SCHEMA_REVISION           ,               ,SYNONYM

AMIDALA       ,CAMPAIGNS      ,SCHEMA_REVISION               ,DBADMIN        ,SCHEMA_REVISION               ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,WORKFLOWHISTORY               ,CMPADMIN       ,WORKFLOWHISTORY               ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,USERGROUP                     ,CMPADMIN       ,USERGROUP                     ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,SHORTCODEUSAGE                ,CMPADMIN       ,SHORTCODEUSAGE                ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,PROGRAMREASSIGNMENT           ,CMPADMIN       ,PROGRAMREASSIGNMENT           ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,PROGRAMPRODUCT                ,CMPADMIN       ,PROGRAMPRODUCT                ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,PROGRAMCUSTOMVALUE            ,CMPADMIN       ,PROGRAMCUSTOMVALUE            ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,PROGRAM                       ,CMPADMIN       ,PROGRAM                       ,               ,SYNONYM
AMIDALA       ,CAMPAIGNS      ,ORGANIZATION                  ,CMPADMIN       ,ORGANIZATION                  ,               ,SYNONYM
