
ORCL          ,APPQOSSYS      ,DBMS_WLM                      ,SYS            ,DBMS_WLM                      ,               ,SYNONYM
ORCL          ,DBSNMP         ,MGMT_BSLN                     ,DBSNMP         ,BSLN                          ,               ,SYNONYM
ORCL          ,PUBLIC         ,SQLN_EXPLAIN_PLAN             ,MERCADOGOV     ,SQLN_EXPLAIN_PLAN             ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_SODA_ADMIN               ,XDB            ,DBMS_SODA_ADMIN               ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_AW$_DIMENSION_SOURCES_T  ,SYS            ,DBMS_AW$_DIMENSION_SOURCES_T  ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_AW$_DIMENSION_SOURCE_T   ,SYS            ,DBMS_AW$_DIMENSION_SOURCE_T   ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_AW$_COLUMNLIST_T         ,SYS            ,DBMS_AW$_COLUMNLIST_T         ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_QOPATCH                  ,SYS            ,DBMS_QOPATCH                  ,               ,SYNONYM
ORCL          ,PUBLIC         ,TRACEFILE_LISTING             ,RDSADMIN       ,TRACEFILE_LISTING             ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_LOCK                     ,SYS            ,USER_LOCK                     ,               ,SYNONYM
ORCL          ,PUBLIC         ,RDS_DIAGLOG                   ,SYS            ,RDS_X$DIAG_LOG_EXT            ,               ,SYNONYM
ORCL          ,PUBLIC         ,LISTENERLOG                   ,SYS            ,RDS_X$DIAG_ALERT_EXT          ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALERTLOG                      ,SYS            ,RDS_X$DBGALERTEXT             ,               ,SYNONYM

ORCL          ,PUBLIC         ,PLSQL_TRACE_RUNNUMBER         ,SYS            ,PLSQL_TRACE_RUNNUMBER         ,               ,SYNONYM
ORCL          ,PUBLIC         ,PLSQL_TRACE_EVENTS            ,SYS            ,PLSQL_TRACE_EVENTS            ,               ,SYNONYM
ORCL          ,PUBLIC         ,PLSQL_TRACE_RUNS              ,SYS            ,PLSQL_TRACE_RUNS              ,               ,SYNONYM
ORCL          ,PUBLIC         ,MATCH_SCORE                   ,CTXSYS         ,MATCH_SCORE                   ,               ,SYNONYM
ORCL          ,PUBLIC         ,MATCHES                       ,CTXSYS         ,MATCHES                       ,               ,SYNONYM
ORCL          ,PUBLIC         ,CATSEARCH                     ,CTXSYS         ,CATSEARCH                     ,               ,SYNONYM
ORCL          ,PUBLIC         ,SCORE                         ,CTXSYS         ,SCORE                         ,               ,SYNONYM
