server_name,owner,synonym_name,table_owner,table_name,db_link,object_type
MSGDB6,PUBLIC,TEMP$LOB,SYSTEM,DEF$_TEMP$LOB,,SYNONYM
MSGDB6,PUBLIC,USER_WORKSPACES,WMSYS,USER_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,USER_WM_PRIVS,WMSYS,USER_WM_PRIVS,,SYNONYM
MSGDB6,PUBLIC,ROLE_WM_PRIVS,WMSYS,ROLE_WM_PRIVS,,SYNONYM
MSGDB6,PUBLIC,ALL_WORKSPACES,WMSYS,ALL_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,ALL_WORKSPACES_INTERNAL,WMSYS,ALL_WORKSPACES_INTERNAL,,SYNONYM
MSGDB6,PUBLIC,USER_WORKSPACE_PRIVS,WMSYS,USER_WORKSPACE_PRIVS,,SYNONYM
MSGDB6,PUBLIC,ALL_WORKSPACE_PRIVS,WMSYS,ALL_WORKSPACE_PRIVS,,SYNONYM
MSGDB6,PUBLIC,USER_WM_VERSIONED_TABLES,WMSYS,USER_WM_VERSIONED_TABLES,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_VERSIONED_TABLES,WMSYS,ALL_WM_VERSIONED_TABLES,,SYNONYM
MSGDB6,PUBLIC,USER_WM_MODIFIED_TABLES,WMSYS,USER_WM_MODIFIED_TABLES,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_MODIFIED_TABLES,WMSYS,ALL_WM_MODIFIED_TABLES,,SYNONYM
MSGDB6,PUBLIC,USER_WORKSPACE_SAVEPOINTS,WMSYS,USER_WORKSPACE_SAVEPOINTS,,SYNONYM
MSGDB6,PUBLIC,ALL_WORKSPACE_SAVEPOINTS,WMSYS,ALL_WORKSPACE_SAVEPOINTS,,SYNONYM
MSGDB6,PUBLIC,USER_WM_TAB_TRIGGERS,WMSYS,USER_WM_TAB_TRIGGERS,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_TAB_TRIGGERS,WMSYS,ALL_WM_TAB_TRIGGERS,,SYNONYM
MSGDB6,PUBLIC,DBA_WORKSPACE_SESSIONS,WMSYS,DBA_WORKSPACE_SESSIONS,,SYNONYM
MSGDB6,PUBLIC,USER_WM_RIC_INFO,WMSYS,USER_WM_RIC_INFO,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_RIC_INFO,WMSYS,ALL_WM_RIC_INFO,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_LOCKED_TABLES,WMSYS,ALL_WM_LOCKED_TABLES,,SYNONYM
MSGDB6,PUBLIC,USER_WM_LOCKED_TABLES,WMSYS,USER_WM_LOCKED_TABLES,,SYNONYM
MSGDB6,PUBLIC,ALL_VERSION_HVIEW,WMSYS,ALL_VERSION_HVIEW,,SYNONYM
MSGDB6,PUBLIC,DBA_WORKSPACES,WMSYS,DBA_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,DBA_WORKSPACE_SAVEPOINTS,WMSYS,DBA_WORKSPACE_SAVEPOINTS,,SYNONYM
MSGDB6,PUBLIC,DBA_WM_VERSIONED_TABLES,WMSYS,DBA_WM_VERSIONED_TABLES,,SYNONYM
MSGDB6,PUBLIC,DBA_WORKSPACE_PRIVS,WMSYS,DBA_WORKSPACE_PRIVS,,SYNONYM
MSGDB6,PUBLIC,DBA_WM_SYS_PRIVS,WMSYS,DBA_WM_SYS_PRIVS,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_PARVERS_VIEW,WMSYS,WM$CURRENT_PARVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_NEXTVERS_VIEW,WMSYS,WM$CURRENT_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURCONFLICT_PARVERS_VIEW,WMSYS,WM$CURCONFLICT_PARVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURCONFLICT_NEXTVERS_VIEW,WMSYS,WM$CURCONFLICT_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$PARCONFLICT_PARVERS_VIEW,WMSYS,WM$PARCONFLICT_PARVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$PARCONFLICT_NEXTVERS_VIEW,WMSYS,WM$PARCONFLICT_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_WORKSPACE_VIEW,WMSYS,WM$CURRENT_WORKSPACE_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$PARENT_WORKSPACE_VIEW,WMSYS,WM$PARENT_WORKSPACE_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_HIERARCHY_VIEW,WMSYS,WM$CURRENT_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$PARENT_HIERARCHY_VIEW,WMSYS,WM$PARENT_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURCONFLICT_HIERARCHY_VIEW,WMSYS,WM$CURCONFLICT_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$PARCONFLICT_HIERARCHY_VIEW,WMSYS,WM$PARCONFLICT_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_SAVEPOINTS_VIEW,WMSYS,WM$CURRENT_SAVEPOINTS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$DIFF1_HIERARCHY_VIEW,WMSYS,WM$DIFF1_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$DIFF2_HIERARCHY_VIEW,WMSYS,WM$DIFF2_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$BASE_HIERARCHY_VIEW,WMSYS,WM$BASE_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$DIFF1_NEXTVER_VIEW,WMSYS,WM$DIFF1_NEXTVER_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$DIFF2_NEXTVER_VIEW,WMSYS,WM$DIFF2_NEXTVER_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$BASE_NEXTVER_VIEW,WMSYS,WM$BASE_NEXTVER_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_VER_VIEW,WMSYS,WM$CURRENT_VER_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$VER_BEF_INST_PARVERS_VIEW,WMSYS,WM$VER_BEF_INST_PARVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$VER_BEF_INST_NEXTVERS_VIEW,WMSYS,WM$VER_BEF_INST_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_VT_ERRORS,WMSYS,ALL_WM_VT_ERRORS,,SYNONYM
MSGDB6,PUBLIC,USER_WM_VT_ERRORS,WMSYS,USER_WM_VT_ERRORS,,SYNONYM
MSGDB6,PUBLIC,WM$PARVERS_VIEW,WMSYS,WM$PARVERS_VIEW,,SYNONYM
