server_name,owner,table_name,last_analyzed,size_mb,num_rows,object_type
TCHQTSDW,OUTLN,OL$HINTS,2011/09/17,0,0,TABLE
TCHQTSDW,MMBU_USA_A2W_REPORTING,RS2_HOURLY_20140827_BAK,2014/11/20,6,49315,TABLE
TCHQTSDW,DBSNMP,MGMT_RESPONSE_CONFIG,2015/01/21,0,2,TABLE
TCHQTSDW,DBSNMP,MGMT_HISTORY,2015/02/23,0,1,TABLE
TCHQTSDW,WMSYS,WM$WORKSPACES_TABLE,2011/09/17,0,1,TABLE
TCHQTSDW,WMSYS,WM$ENV_VARS,2014/09/29,0,2,TABLE
TCHQTSDW,WMSYS,AQ$_WM$EVENT_QUEUE_TABLE_L,2011/09/17,0,0,TABLE
TCHQTSDW,EXFSYS,EXF$VALIDPRIVS,2011/09/17,0,3,TABLE
TCHQTSDW,CTXSYS,DR$CLASS,2011/09/17,0,13,TABLE
TCHQTSDW,CTXSYS,DR$OBJECT_ATTRIBUTE_LOV,2011/09/17,0,168,TABLE
TCHQTSDW,CTXSYS,DR$PREFERENCE,2011/09/17,0,28,TABLE
TCHQTSDW,CTXSYS,SYS_IOT_OVER_56370,2011/09/17,0,0,TABLE
TCHQTSDW,CTXSYS,DR$STOPLIST,2011/09/17,0,1,TABLE
TCHQTSDW,CTXSYS,DR$NUMBER_SEQUENCE,2011/09/17,0,256,TABLE
TCHQTSDW,XDB,X$PT5D4T2AG8LHFO7E0GOV9SIGK2JU,2016/08/10,0,32,TABLE
TCHQTSDW,XDB,APP_USERS_AND_ROLES,2011/09/17,0,1,TABLE
TCHQTSDW,XDB,XDB$WORKSPACE,2011/09/17,0,0,TABLE
TCHQTSDW,XDB,XDB$XTAB,2011/09/17,0,0,TABLE
TCHQTSDW,XDB,XDB$SIMPLE_TYPE_VIEW_TBL,2011/09/17,0,0,TABLE
TCHQTSDW,XDB,XDB$COMPLEX_TYPE_VIEW_TBL,2011/09/17,0,0,TABLE
TCHQTSDW,EXFSYS,SYS_IOT_OVER_58777,2011/09/17,0,0,TABLE
TCHQTSDW,ORDSYS,ORD_USAGE_RECS,2011/09/17,0,0,TABLE
TCHQTSDW,ORDSYS,SI_FEATURES_TAB,2011/09/17,0,4,TABLE
TCHQTSDW,ORDSYS,SI_VALUES_TAB,2011/09/17,0,8,TABLE
TCHQTSDW,ORDDATA,ORDDCM_ANON_RULES,2011/09/17,0,3,TABLE
