SERVER_NA,OWNER                         ,TABLE_NAME                    ,LAST_ANA,   SIZE_MB,  NUM_ROWS,OBJECT_TYPE
AMIDALA  ,AVAIL                         ,OBJECT_VERSION                ,29/08/17,        ,1,        18,TABLE
AMIDALA  ,AVAIL                         ,KEEP_ARCH_AVG_HIST            ,29/08/17,        ,1,         4,TABLE
AMIDALA  ,AVAIL                         ,KNOWN_LONG_RUNNING_JOBS       ,29/08/17,        ,1,         3,TABLE
AMIDALA  ,AVAIL                         ,AVAIL_TEST                    ,29/08/17,        ,1,         0,TABLE
AMIDALA  ,AVAIL                         ,TABLESPACE_MONITORING         ,29/08/17,        ,1,         0,TABLE
AMIDALA  ,AVAIL                         ,RMAN_BACKUP_SCHEDULE          ,29/08/17,        ,1,         2,TABLE
AMIDALA  ,AVAIL                         ,TABLESPACE_HISTORY            ,29/08/17,        ,3,      4325,TABLE
AMIDALA  ,AVAIL                         ,STARTUP_LOG                   ,29/08/17,        ,1,         1,TABLE
AMIDALA  ,AVAIL                         ,TABLESPACE_OFFLINE            ,29/08/17,        ,1,         0,TABLE
AMIDALA  ,AVAIL                         ,KNOWN_SYSTEM_SCHEMAS          ,29/08/17,        ,1,        36,TABLE
AMIDALA  ,AVAIL                         ,KNOWN_DISABLED_CONSTRAINTS01  ,29/08/17,        ,1,        39,TABLE
AMIDALA  ,AVAIL                         ,KNOWN_INVALID_OBJECTS         ,29/08/17,        ,1,       451,TABLE
AMIDALA  ,AVAIL                         ,RMAN_NOBACKUP_FILES           ,29/08/17,        ,1,         0,TABLE
AMIDALA  ,AVAIL                         ,FILE_NAME_SCAN                ,29/08/17,        ,1,       550,TABLE
AMIDALA  ,BRAT                          ,SUBBILLING_CLEAN              ,12/09/17,         2,     12126,TABLE
AMIDALA  ,BRAT                          ,SUBBILLING_AMIDALA_1          ,12/09/17,         8,     72460,TABLE
AMIDALA  ,BRAT                          ,SUBBILLING_AMIDALA_1_CLEAN    ,12/09/17,         8,     72040,TABLE
AMIDALA  ,BRAT                          ,SUBBILLING_DELETE_SUBS_AMIDALA,12/09/17,         2,     44020,TABLE
AMIDALA  ,BRAT                          ,SUBBILLING_AMIDALA            ,12/09/17,         2,     12074,TABLE
AMIDALA  ,BRAT                          ,TMP_SUBBILLING                ,12/09/17,         1,      4933,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,POLLRESPONSE                  ,12/09/17,        ,1,       195,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,NEXELSPRINTFIX                ,12/09/17,        ,9,     19152,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOLOG                     ,12/09/17,      3757,  44352060,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CUSTBULKSENDMESSAGECONTROL    ,12/09/17,         5,     66810,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOMEDIAPLAYERUSERAGENT    ,12/09/17,        ,1,       259,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BMSMARTPHONELOG               ,12/09/17,       216,   1516170,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,QRTZ_TRIGGERS                 ,12/09/17,         1,      1352,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BCQRTZ_TRIGGER_LISTENERS      ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,FDUSERLISTBAK090906           ,12/09/17,        ,3,      1876,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIPTIONDELIVERYCOUNT     ,12/09/17,        ,6,      7210,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BMSMARTPHONECC_LOG            ,12/09/17,         3,     23894,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUNKISTPLAYER                 ,12/09/17,        ,5,      8172,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOTCAREFEATURES           ,12/09/17,        ,2,        45,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,PLAN_TABLE                    ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,REMYQUESTION                  ,12/09/17,        ,1,        77,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIPTIONSTATS             ,12/09/17,         2,     35430,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TCAREMT                       ,12/09/17,      1280,   4659280,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOFEATURELIST             ,12/09/17,        ,5,        66,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOFEATURELIST2            ,12/09/17,        ,9,       182,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOFEATURESUSERAGENTS      ,12/09/17,        ,2,      1240,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOHANDSETDETAILS          ,12/09/17,        ,1,       163,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOCONTENTMAPPING          ,12/09/17,        ,1,        39,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BTQRTZ_JOB_LISTENERS          ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BTQRTZ_SIMPLE_TRIGGERS        ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOETUBLACKLISTLOG         ,12/09/17,        ,1,        92,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,QRTZ_SIMPLE_TRIGGERS          ,12/09/17,        ,4,       982,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BTQRTZ_TRIGGER_LISTENERS      ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BTQRTZ_FIRED_TRIGGERS         ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BTQRTZ_SCHEDULER_STATE        ,12/09/17,        ,1,         2,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BCQRTZ_CALENDARS              ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOWHATSNEWADBANNER        ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,ARAMARKOFFER                  ,12/09/17,        ,1,       174,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CHANNELTYPE                   ,12/09/17,         3,         6,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CLUSERALERT                   ,12/09/17,         2,     27770,TABLE
