
ORCL          ,CTXSYS              ,DR$FEATURE_USED                         ,26/04/17,         0,        18,TABLE
ORCL          ,CTXSYS              ,SYS_IOT_OVER_19820                      ,22/02/17,         0,         0,TABLE
ORCL          ,CTXSYS              ,DR$CLASS                                ,22/02/17,         0,        13,TABLE
ORCL          ,CTXSYS              ,DR$PREFERENCE                           ,26/04/17,         0,        62,TABLE
ORCL          ,CTXSYS              ,SYS_IOT_OVER_19872                      ,22/02/17,         0,         0,TABLE
ORCL          ,CTXSYS              ,DR$OBJECT                               ,22/02/17,         0,        53,TABLE
ORCL          ,CTXSYS              ,DR$NUMBER_SEQUENCE                      ,22/02/17,         0,      2048,TABLE
ORCL          ,CTXSYS              ,DR$OBJECT_ATTRIBUTE                     ,22/02/17,         0,       436,TABLE
ORCL          ,CTXSYS              ,DR$INDEX_SET                            ,26/04/17,         0,         1,TABLE
ORCL          ,CTXSYS              ,DR$SECTION_GROUP                        ,22/02/17,         0,         8,TABLE
ORCL          ,CTXSYS              ,DR$INDEX                                ,26/04/17,         0,         4,TABLE
ORCL          ,CTXSYS              ,DR$PREFERENCE_VALUE                     ,26/04/17,         0,        54,TABLE
ORCL          ,CTXSYS              ,DR$STOPLIST                             ,26/04/17,         0,         3,TABLE

ORCL          ,CTXSYS              ,DR$SECTION_GROUP_ATTRIBUTE              ,22/02/17,         0,         3,TABLE
ORCL          ,CTXSYS              ,DR$OBJECT_ATTRIBUTE_LOV                 ,22/02/17,         0,       168,TABLE
ORCL          ,CTXSYS              ,DR$INDEX_VALUE                          ,26/04/17,         0,       124,TABLE
ORCL          ,CTXSYS              ,DR$NVTAB                                ,22/02/17,         0,         0,TABLE
ORCL          ,DBSNMP              ,BSLN_BASELINES                          ,03/09/17,         0,         1,TABLE
ORCL          ,DBSNMP              ,BSLN_STATISTICS                         ,03/09/17,         0,       749,TABLE
ORCL          ,DBSNMP              ,BSLN_METRIC_DEFAULTS                    ,30/04/17,         0,        49,TABLE
