server_name,owner,table_name,last_analyzed,size_mb,num_rows,object_type
MSGDB6,WMSYS,WM$LOCKROWS_INFO,2008/08/05,0,0,TABLE
MSGDB6,SMX,ALTROUTINGADMIN,2017/09/14,0,8,TABLE
MSGDB6,SMX,SPIDCHECK,2017/09/14,0,1252,TABLE
MSGDB6,DBSNMP,MGMT_BASELINE,2017/08/29,0,1,TABLE
MSGDB6,DBADMIN,DB_ADMIN_NAME_STANDARDS,2017/08/29,0,1,TABLE
MSGDB6,SMX,LNPOCNCACHEAUDIT,2017/09/14,2490,22596000,TABLE PARTITION
MSGDB6,SMX,LINERANGE,2017/09/14,3,30400,TABLE
MSGDB6,DBSNMP,MGMT_RESPONSE_CONFIG,2017/08/29,0,0,TABLE
MSGDB6,DBSNMP,MGMT_BSLN_BASELINES,2017/08/29,0,0,TABLE
MSGDB6,DBSNMP,MGMT_BSLN_STATISTICS,2017/08/29,0,0,TABLE
MSGDB6,WMSYS,WM$SYSPARAM_ALL_VALUES,2008/10/14,0,27,TABLE
MSGDB6,IGNITE,CONV_VM_RESIDENCY,2017/08/29,0,0,TABLE
MSGDB6,IGNITE,CONL_1,2017/08/29,0,0,TABLE
MSGDB6,SMX,DEACT2200_C0002835,2017/09/14,0,1817,TABLE
MSGDB6,IGNITE,CONSW_EC_1,2017/08/29,0,0,TABLE
MSGDB6,IGNITE,CON_DBUSER_SUM_1,2017/08/29,1,27037,TABLE
MSGDB6,IGNITE,CON_PLAN_SUM_1,2017/08/29,25,692782,TABLE
MSGDB6,IGNITE,CONLOG,2017/08/29,11,12823,TABLE
MSGDB6,IGNITE,CONLIC,2017/08/29,0,3,TABLE
MSGDB6,IGNITE,CONTIME,2017/08/29,24,178856,TABLE
MSGDB6,PERFSTAT,STATS$SYSTEM_EVENT,2017/08/29,112,1663441,TABLE
MSGDB6,PERFSTAT,STATS$CR_BLOCK_SERVER,2017/08/29,1,0,TABLE
MSGDB6,IGNITE,CON_SAMPLE_SUM_1,2017/08/29,0,3120,TABLE
MSGDB6,IGNITE,CONF_1,2017/08/29,1,6145,TABLE
MSGDB6,SMX,HYBRIDMDNAUDIT,2017/09/14,4,0,TABLE PARTITION
MSGDB6,IGNITE,CON_METRICS_NAMES_1,2017/08/29,0,24,TABLE
MSGDB6,IGNITE,CON_METRICS_DETAIL_1,2017/08/29,20,596401,TABLE
MSGDB6,IGNITE,CONEV_MAP_2,2017/08/29,0,1285,TABLE
MSGDB6,IGNITE,CONPR_2,2017/08/29,0,106,TABLE
MSGDB6,PERFSTAT,STATS$SQL_PLAN_USAGE,2017/08/29,5,0,TABLE
MSGDB6,PERFSTAT,STATS$STATSPACK_PARAMETER,2017/08/29,0,1,TABLE
MSGDB6,PERFSTAT,STATS$SHARED_POOL_ADVICE,2017/08/29,14,206276,TABLE
MSGDB6,WMSYS,WM$HINT_TABLE,2008/10/14,0,58,TABLE
MSGDB6,IGNITE,CON_EVENT_SUM_2,2017/08/29,3,77288,TABLE
MSGDB6,IGNITE,CON_PLAN_SUM_2,2017/08/29,24,669493,TABLE
MSGDB6,IGNITE,CONPT_2,2017/08/29,26,197589,TABLE
MSGDB6,IGNITE,CON_METRICS_DAY_2,2017/08/29,1,26117,TABLE
MSGDB6,AVAIL,KEEP_ARCH_AVG_HIST,2017/08/29,0,4,TABLE
MSGDB6,AVAIL,KNOWN_DISABLED_CONSTRAINTS01,2017/08/29,0,23,TABLE
MSGDB6,AVAIL,STARTUP_LOG,2017/08/29,0,2,TABLE
MSGDB6,IGNITE,CONEV_MAP_3,2017/08/29,0,1285,TABLE
MSGDB6,IGNITE,CONTT_6,2017/08/29,0,4269,TABLE
