server_name,owner,table_name,last_analyzed,size_mb,num_rows,object_type
PRODDW3,EDWMART,CNTRY_SPEC_DATES_10_SEP_2017,2017/09/11,0,0,TABLE
PRODDW3,EDWMART,RECON_SUMMARY_PV_27_OCT_2014,2017/08/29,1,9082,TABLE
PRODDW3,EDWMART,REV_PURCH_MODELS_12_SEP_2017,2017/09/13,0,5,TABLE
PRODDW3,EDWMART,HOURS_12_SEP_2017,2017/09/13,0,25,TABLE
PRODDW3,EDWMART,MEDIA_TYPES_11_SEP_2017,2017/09/12,0,1,TABLE
PRODDW3,EDWMART,MEDIA_TYPES_10_SEP_2017,2017/09/11,0,1,TABLE
PRODDW3,EDWMART,MESSAGE_DIRECTION_10_SEP_2017,2017/09/11,0,4,TABLE
PRODDW3,EDWMART,CURRENCIES_10_SEP_2017,2017/09/11,0,114,TABLE
PRODDW3,AVAIL,OBJECT_VERSION,2017/08/29,0,18,TABLE
PRODDW3,AVAIL,KNOWN_DISABLED_CONSTRAINTS01,2017/08/29,0,23,TABLE
PRODDW3,AVAIL,KEEP_ARCH_AVG_HIST,2017/08/29,0,4,TABLE
PRODDW3,AVAIL,STARTUP_LOG,2017/08/29,0,2,TABLE
PRODDW3,WMSYS,WM$REPLICATION_DETAILS_TABLE,2008/10/22,0,0,TABLE
PRODDW3,WMSYS,WM$RIC_LOCKING_TABLE,2008/10/22,0,0,TABLE
PRODDW3,WMSYS,WM$REMOVED_WORKSPACES_TABLE,2008/10/22,0,0,TABLE
PRODDW3,DBSNMP,MGMT_RESPONSE_CONFIG,2017/08/29,0,0,TABLE
PRODDW3,DBSNMP,MGMT_BSLN_BASELINES,2017/08/29,0,0,TABLE
PRODDW3,DBSNMP,MGMT_BSLN_STATISTICS,2017/08/29,0,0,TABLE
PRODDW3,DBSNMP,MGMT_BASELINE,2017/08/29,0,1,TABLE
PRODDW3,DBSNMP,MGMT_LATEST,2017/08/29,0,0,TABLE
PRODDW3,OUTLN,OL$NODES,2008/10/22,0,0,TABLE
PRODDW3,EDWMART,VW_100DAYS_REFUNDS_17_NOV_2009,2017/08/29,408,1138993,TABLE
PRODDW3,EDWMART,RFND_RPRT_RFND_RSN_29_OCT_2014,2017/08/29,0,16,TABLE
PRODDW3,EDWMART,RDR_QPKQTWMWGT,2017/08/29,0,2615,TABLE
