server_name,owner,table_name,last_analyzed,size_mb,num_rows,object_type
TYPHO,DBSNMP,MGMT_BSLN_STATISTICS,2017/08/29,0,0,TABLE
TYPHO,DBSNMP,MGMT_BSLN_BASELINES,2017/08/29,0,0,TABLE
TYPHO,DBSNMP,MGMT_RESPONSE_CONFIG,2017/08/29,0,0,TABLE
TYPHO,DBSNMP,MGMT_BASELINE,2017/08/29,0,1,TABLE
TYPHO,BILLING,JOB,2017/09/09,13742,62115200,TABLE PARTITION
TYPHO,BILLING,RESTRICTIONEVENT,2017/09/10,144,692100,TABLE PARTITION
TYPHO,BILLING,PAH_SWAP,2017/09/09,0,0,TABLE
TYPHO,BILLING,SAM_LIST,2017/09/09,0,277,TABLE
TYPHO,BILLING,TAGIT_SEL,2017/09/09,2,6875,TABLE
TYPHO,BILLING,IQUSER,2017/09/14,1,2161,TABLE
TYPHO,BILLING,DEVICE_DATA,2017/09/09,7,6006,TABLE
TYPHO,BILLING,SUBSCRIPTION,2015/11/21,80669,293859420,TABLE PARTITION
TYPHO,BILLING,VZWPRICEPLAN,2017/09/14,1,75,TABLE
TYPHO,BILLING,INTERNALPRODUCTCODE,2017/09/14,4,24720,TABLE
TYPHO,BILLING,CURRENCYCODES,2017/09/14,1,13,TABLE
TYPHO,BILLING,SUBSCRIPTIONPRODUCTCONTENTTYPE,2017/09/14,1,170,TABLE
TYPHO,BILLING,SCHEMATABLES,2017/09/09,1,57,TABLE
TYPHO,BILLING,SUBSCRIPTIONCONTENTTYPE,2017/09/09,0,61,TABLE
TYPHO,BILLING,VOTINGPROGRAMACCESS,2017/09/09,0,8,TABLE
TYPHO,BILLING,CARRIERBILLINGBEHAVIOR,2017/09/14,1,140,TABLE
TYPHO,WMSYS,WM$LOG_TABLE,2008/08/09,0,0,TABLE
TYPHO,WMSYS,WM$MP_PARENT_WORKSPACES_TABLE,2008/08/09,0,0,TABLE
TYPHO,WMSYS,WM$UDTRIG_INFO,2008/08/09,0,0,TABLE
TYPHO,WMSYS,WM$WORKSPACE_PRIV_TABLE,2008/08/09,0,8,TABLE
TYPHO,WMSYS,WM$LOG_TABLE_ERRORS,2008/08/09,0,0,TABLE
TYPHO,WMSYS,WM$NEXTVER_TABLE,2008/08/09,0,1,TABLE
TYPHO,WMSYS,WM$RIC_TRIGGERS_TABLE,2008/08/09,0,0,TABLE
TYPHO,ORDSYS,SI_IMAGE_FORMATS_TAB,2017/08/29,0,17,TABLE
TYPHO,ORDSYS,JACCELERATOR$STATUS,2017/08/29,0,0,TABLE
TYPHO,ORDSYS,ORD_INSTALLATIONS,2017/08/29,0,1,TABLE
TYPHO,MDSYS,PARTITION_TMP_3,2017/08/29,0,0,TABLE
